City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
83,itaituba,-4.2761,-55.9836,34.09,40,20,2.57,BR,1722980576
84,pangkalanbuun,-2.6833,111.6167,22.94,99,100,0.89,ID,1722980577
85,lisakovsk,52.5369,62.4936,18.98,80,100,2.37,KZ,1722980578
86,bilibino,68.0546,166.4372,7.23,56,13,1.13,RU,1722980579
87,kruisfontein,-34.0033,24.7314,9.54,84,0,2.32,ZA,1722980580
88,tiksi,71.6872,128.8694,10.62,85,100,2.96,RU,1722980581
89,zyrya,40.3661,50.2917,28.05,75,3,9.38,AZ,1722980583
90,lihue,21.9789,-159.3672,28.19,70,0,5.14,US,1722980584
91,kone,-21.0595,164.8658,22.25,51,36,2.68,NC,1722980585
92,mogok,22.9167,96.5,17.04,99,100,1.2,MM,1722980586
93,thompson,55.7435,-97.8558,16.09,72,100,2.06,CA,1722980587
94,linxia chengguanzhen,35.6003,103.2064,14.52,83,100,1.99,CN,1722980588
95,kurchatov,51.6601,35.6521,16.23,65,90,1.7,RU,1722980590
96,puerto natales,-51.7236,-72.4875,-0.75,86,75,1.54,CL,1722980591
97,suzun,53.7841,82.3116,14.98,94,51,2.06,RU,1722980592
98,east london,-33.0153,27.9116,14.5,65,0,2.85,ZA,1722980593
99,st. john's,47.5649,-52.7093,20.08,86,100,7.72,CA,1722980462
100,itaporanga,-7.3044,-38.1503,27.34,43,100,8.52,BR,1722980554
101,fenghuang,27.9356,109.5996,23.64,85,1,1.23,CN,1722980597
102,pangody,65.85,74.4859,6.15,87,0,4.62,RU,1722980598
103,mount gambier,-37.8333,140.7667,6.91,99,95,2.94,AU,1722980594
104,gilgit,35.9221,74.3087,26.1,53,8,1.85,PK,1722980601
105,afaahiti,-17.75,-149.2833,27.93,84,12,8.92,PF,1722980602
106,taltal,-25.4,-70.4833,14.52,79,31,2.19,CL,1722980603
107,isafjordur,66.0755,-23.124,6.53,95,99,2.08,IS,1722980557
108,oschersleben,52.0333,11.25,20.57,69,6,2.19,DE,1722980605
109,vila franca do campo,37.7167,-25.4333,24.23,91,37,1.89,PT,1722980607
110,magadan,59.5667,150.8,9.78,94,100,2.87,RU,1722980608
111,tongouson,5.0214,120.1328,28.24,77,100,4.58,PH,1722980609
112,nago,26.5881,127.9761,28.97,86,39,2.27,JP,1722980610
113,ocean grove,40.2121,-74.0065,25.12,92,100,3.6,US,1722980455
114,halifax,44.6453,-63.5724,19.94,92,100,2.06,CA,1722980516
115,cascais,38.6979,-9.4215,22.64,82,4,5.36,PT,1722980316
116,colonia,50.9333,6.95,23.87,75,0,0.51,DE,1722980355
117,fale old settlement,-9.3852,-171.2468,28.16,76,59,7.18,TK,1722980616
118,tanda,26.55,82.65,26.03,90,100,3.97,IN,1722980617
119,nova sintra,14.8667,-24.7167,25.89,83,100,7.18,CV,1722980600
120,saldus,56.6636,22.4881,14.14,96,30,1.85,LV,1722980620
121,margaret river,-33.95,115.0667,15.66,66,76,10.94,AU,1722980558
122,egilsstadir,65.2653,-14.3948,11.95,71,40,5.14,IS,1722980622
123,karratha,-20.7377,116.8463,17.73,50,2,2.67,AU,1722980623
124,longyearbyen,78.2186,15.6401,8.91,93,75,3.6,SJ,1722980624
125,suva,-18.1416,178.4415,23.71,73,40,3.6,FJ,1722980489
126,yemetsk,63.4721,41.7941,10.19,70,5,2.25,RU,1722980626
127,novo aripuana,-5.1206,-60.3797,30.74,37,35,1.12,BR,1722980627
128,udachny,66.4167,112.4,9.16,70,48,1.21,RU,1722980628
129,sumbe,-11.2061,13.8437,19.88,92,16,3.61,AO,1722980629
130,hermanus,-34.4187,19.2345,9.33,85,0,0.44,ZA,1722980630
131,tenenkou,14.4572,-4.9169,30.14,62,100,4.64,ML,1722980632
132,trairi,-3.2778,-39.2689,25.2,80,5,6.03,BR,1722980607
133,mahibadhoo,3.7833,72.9667,27.95,76,100,2.98,MV,1722980634
134,ishinomaki,38.4167,141.3,25.3,78,0,1.71,JP,1722980635
135,north bend,43.4065,-124.2243,23.29,63,0,8.75,US,1722980636
136,keflavik,64.0049,-22.5624,11.24,93,0,3.09,IS,1722980637
137,pimenta bueno,-11.6725,-61.1936,29.91,27,8,1.88,BR,1722980638
138,ribeira grande,38.5167,-28.7,25.22,73,40,4.12,PT,1722980556
139,casino,-28.8667,153.05,12.54,77,99,1.05,AU,1722980640
140,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,2.0,RU,1722980641
141,ati,13.2154,18.3353,26.19,76,92,5.31,TD,1722980642
142,yeppoon,-23.1333,150.7333,18.47,89,58,3.56,AU,1722980644
143,utrik,11.2278,169.8474,28.41,78,84,5.83,MH,1722980591
144,chernogorsk,53.8236,91.2842,14.76,88,0,2.0,RU,1722980647
145,tanjung selor,2.8372,117.3642,22.94,98,100,0.8,ID,1722980648
146,konarka,19.9,86.1167,26.22,89,100,6.56,IN,1722980649
147,port mathurin,-19.6833,63.4167,22.51,74,2,4.65,MU,1722980651
148,napili-honokowai,20.9708,-156.6705,29.06,81,2,7.31,US,1722980652
149,nadym,65.5333,72.5167,5.46,89,2,4.85,RU,1722980653
150,lata,40.1629,-8.3327,20.04,99,79,1.12,PT,1722980655
151,susuman,62.7833,148.1667,8.95,79,100,1.95,RU,1722980656
152,las tablas,7.7667,-80.2833,27.87,99,84,3.49,PA,1722980657
153,khovd,48.0056,91.6419,17.32,39,61,0.77,MN,1722980658
154,i-n-salah,27.1935,2.4607,36.28,15,0,5.77,DZ,1722980592
155,nar'yan-mar,67.6713,53.087,5.69,85,22,3.51,RU,1722980660
156,garissa,-0.4536,39.6401,24.2,70,2,8.16,KE,1722980662
157,beira,-19.8436,34.8389,23.05,94,20,3.6,MZ,1722980663
158,mejit,10.2753,170.8646,28.39,77,87,6.24,MH,1722980664
159,atlantic beach,30.3344,-81.3987,27.25,92,100,9.77,US,1722980665
160,aasiaat,68.7098,-52.8699,3.72,96,75,3.1,GL,1722980666
161,bredasdorp,-34.5322,20.0403,9.44,91,0,1.35,ZA,1722980668
162,dawei,14.0833,98.2,24.37,92,100,0.72,MM,1722980669
163,labrador city,52.9463,-66.9114,11.95,62,75,5.66,CA,1722980670
164,cill airne,52.05,-9.5167,11.33,96,40,2.49,IE,1722980481
165,berdigestyakh,62.0989,126.6992,13.0,87,0,2.68,RU,1722980672
166,rehoboth,-23.3167,17.0833,15.22,18,19,3.14,NA,1722980673
167,kashima,33.1061,130.0906,26.83,72,60,1.19,JP,1722980674
168,freetown,8.484,-13.2299,25.06,85,100,4.5,SL,1722980675
169,zouerate,22.7187,-12.4521,35.92,15,5,4.84,MR,1722980471
170,al bawiti,28.3492,28.8659,29.46,38,0,3.47,EG,1722980677
171,ishikawa,26.4233,127.8214,28.98,94,20,2.57,JP,1722980678
172,punta arenas,-53.15,-70.9167,0.06,86,75,3.6,CL,1722980662
173,beau vallon,-20.4189,57.6953,19.56,72,20,1.54,MU,1722980681
174,chibougamau,49.9168,-74.3659,17.79,45,75,4.63,CA,1722980638
175,pike road,32.2843,-86.103,35.76,25,0,5.77,US,1722980683
176,georgetown,5.4112,100.3354,26.96,83,20,1.03,MY,1722980577
177,priozersk,61.0393,30.1291,16.16,100,98,2.3,RU,1722980685
178,alpena,45.0617,-83.4327,24.18,49,0,4.12,US,1722980686
179,vizinga,61.0749,50.1031,10.51,90,98,2.35,RU,1722980687
180,fort mcmurray,56.7268,-111.381,21.77,52,0,4.63,CA,1722980531
181,klyuchi,52.2667,79.1667,18.88,80,92,3.27,RU,1722980689
182,vadso,70.0744,29.7487,16.49,71,0,2.57,NO,1722980690
183,tobarra,38.5921,-1.6919,27.32,43,2,2.61,ES,1722980692
184,sabang,5.8933,95.3214,27.47,80,100,9.56,ID,1722980693
185,grand falls-windsor,48.9332,-55.6649,20.28,63,65,0.45,CA,1722980694
186,cole harbour,44.6724,-63.4751,19.66,92,100,2.06,CA,1722980634
187,ust-nera,64.5667,143.2,10.3,87,100,2.12,RU,1722980602
188,ulaangom,49.9811,92.0667,15.1,56,40,0.91,MN,1722980697
189,guangyuan,32.442,105.823,25.5,87,94,1.04,CN,1722980698
190,sao gabriel da cachoeira,-0.1303,-67.0892,29.17,61,27,1.19,BR,1722980699
191,chita,52.0333,113.55,6.94,93,6,1.0,RU,1722980700
192,antofagasta,-23.65,-70.4,15.6,87,55,4.16,CL,1722980593
193,alofi,-19.0595,-169.9187,23.94,69,75,3.6,NU,1722980703
194,hailar,49.2,119.7,16.84,86,100,1.23,CN,1722980704
195,antalaha,-14.9003,50.2788,18.9,85,6,2.83,MG,1722980705
196,papao,-17.75,-149.55,28.82,79,0,10.3,PF,1722980706
197,tafuna,-14.3358,-170.72,26.97,83,75,6.17,AS,1722980707
198,garrett,41.3495,-85.1355,24.92,92,75,5.14,US,1722980708
199,newman,37.3138,-121.0208,37.19,6,1,1.07,US,1722980711
200,nemuro,43.3236,145.575,17.54,100,100,2.83,JP,1722980712
201,mount isa,-20.7333,139.5,11.87,58,2,4.63,AU,1722980594
202,bamboo flat,11.7,92.7167,26.05,89,100,1.03,IN,1722980547
203,seward,40.907,-97.0989,22.38,37,72,3.61,US,1722980715
204,enewetak,11.3474,162.3373,28.5,77,49,4.87,MH,1722980564
205,tura,25.5198,90.2201,24.19,97,100,2.49,IN,1722980717
206,sao tome,0.3365,6.7273,23.57,82,87,3.75,ST,1722980718
207,rio tuba,8.5061,117.4317,27.68,79,100,2.88,PH,1722980719
208,neryungri,56.6709,124.6491,12.15,89,73,1.07,RU,1722980720
209,port augusta,-32.5,137.7667,8.06,72,21,2.45,AU,1722980721
210,kourou,5.1552,-52.6478,27.03,83,16,3.2,GF,1722980722
211,qaqortoq,60.7167,-46.0333,8.44,98,100,1.02,GL,1722980724
212,wailua homesteads,22.0669,-159.378,27.85,68,0,5.14,US,1722980725
213,touros,-5.1989,-35.4608,24.34,81,19,7.07,BR,1722980726
214,opuwo,-18.0607,13.84,17.71,32,0,1.67,NA,1722980727
215,rongelap,11.1635,166.8941,28.56,77,95,5.14,MH,1722980728
216,wesselsbron,-27.8549,26.3658,7.79,21,0,2.82,ZA,1722980729
217,altay,47.8667,88.1167,15.18,44,100,2.63,CN,1722980730
218,walvis bay,-22.9575,14.5053,12.27,95,45,1.45,NA,1722980731
219,hirara,24.8,125.2833,28.15,100,75,7.72,JP,1722980732
220,saldanha,-33.0117,17.9442,9.03,84,0,4.13,ZA,1722980733
221,frontera,26.9333,-101.45,35.86,35,40,2.57,MX,1722980734
222,uckfield,50.9695,0.0959,17.64,85,99,3.69,GB,1722980736
223,constantia,44.1833,28.65,18.38,85,13,5.62,RO,1722980659
